time,ue_id,enb_id,rsrp_dbm,rsrq_db,sinr_db
0,0,1,-77.69457586790574,-9.731725044174173,-66.17173236777953
0,0,2,-82.19687379993552,-5.315399075913421,-73.53331453987346
0,0,3,-57.67899664421845,-11.764442193199564,-49.32373239045102
0,0,4,-75.87860070045527,-9.701566705857573,-66.37017893606952
0,0,5,-48.69377935741569,-10.071152086366215,-38.5954669341746
0,0,6,-71.52857447433048,-10.171598494087261,-62.5759069326743
0,0,7,-76.35143830704465,-7.586382400133545,-69.8343874442384
0,1,1,-70.20154124111384,-12.638765648866572,-58.21089366695995
0,1,2,-81.48551289247781,-7.784521504722325,-72.40137766671265
0,1,3,-76.15851126296707,-12.399795935771603,-68.45723366146552
0,1,4,-72.38841371896129,-6.5658895780063355,-65.36684350955834
0,1,5,-69.27087416926139,-5.816412701482739,-58.57862347955274
0,1,6,-44.80830727349551,-12.608228703941368,-34.7342058408255
0,1,7,-78.8803229434171,-10.993260316076288,-69.86186003789906
0,2,1,-73.20337649539722,-7.204741120577582,-63.684266217400676
0,2,2,-73.79811022655127,-12.86339098195401,-68.69004461024623
0,2,3,-68.19752993825504,-13.179129269708863,-56.1426560367831
0,2,4,-79.5020494273487,-9.222810209187925,-66.48976284436031
0,2,5,-66.2525066910465,-11.793787581486338,-58.416486671091306
0,2,6,-64.11455878989942,-7.303050532685207,-51.9397480816457
0,2,7,-56.99560856500402,-13.024183132258624,-45.8919093561557
0,3,1,-71.03243457900264,-10.571464818535155,-57.05720277855842
0,3,2,-76.77440157874167,-7.862577450214937,-67.84599176632648
0,3,3,-85.11797888940282,-10.367104088901302,-74.22110662448583
0,3,4,-70.30918361607853,-10.000687798648801,-59.262346345737015
0,3,5,-71.17023759693927,-3.6681027793577083,-59.10400211969678
0,3,6,-67.64894938669836,-10.793052716963091,-55.78883312595687
0,3,7,-62.4226946171851,-12.550678268727964,-52.59227137394856
0,4,1,-67.91333249551441,-7.451126107179244,-54.533724366794836
0,4,2,-69.72921380148645,-7.734660358267087,-61.87996735628823
0,4,3,-56.99030376437844,-7.222549486945904,-48.778162186435985
0,4,4,-67.67870132100987,-8.300605310535843,-54.51771764438421
0,4,5,-65.9920818854319,-4.805442275116919,-56.078257907252244
0,4,6,-81.13168999659223,-9.239209662519949,-72.11238093016686
0,4,7,-59.92558742361335,-6.804032567211626,-48.81025135984808
0,5,1,-61.36568534721066,-8.859344544824443,-52.809292976285896
0,5,2,-79.11057018183115,-14.286065408092611,-67.95661050104128
0,5,3,-68.29696141080726,-9.970128446784562,-55.20123220280516
0,5,4,-63.547951324203936,-9.292456638204,-49.99779948915964
0,5,5,-63.75883229690895,-10.550752037016764,-54.9930626347682
0,5,6,-64.96561816082702,-13.432544202516791,-55.308071420199504
0,5,7,-55.28497696252471,-11.3894483438655,-43.26753580158264
0,6,1,-71.9469589161163,-8.174071330264947,-64.0146478340822
0,6,2,-79.95543666527797,-5.588866812719338,-71.31822983575546
0,6,3,-59.16614740007397,-9.920982713450181,-48.86573978583663
0,6,4,-70.24871018999153,-7.0506302691940075,-59.16014163611909
0,6,5,-49.924098698536554,-8.908110551008564,-35.423409457131676
0,6,6,-71.88148617127942,-11.383031416120373,-61.62363863463967
0,6,7,-73.97628314769044,-8.372996085388406,-61.0406984672043
0,7,1,-70.45812756619947,-12.7624262576496,-58.615399071245044
0,7,2,-65.65699400793503,-13.862849475446296,-54.40976270128891
0,7,3,-67.11069017720253,-11.636039631432059,-57.2759093279858
0,7,4,-74.80222890696898,-10.400548460399959,-61.41298225284266
0,7,5,-75.12558631064813,-8.044826527473937,-63.71295792705914
0,7,6,-68.31517454384694,-6.333232471347488,-58.507223102641206
0,7,7,-47.059179139646886,-12.246325626665215,-37.86998166124301
0,8,1,-64.25342351651133,-0.7951178466331541,-54.79146690376846
0,8,2,-60.057698283202065,-16.950909583026636,-50.192132354863574
0,8,3,-56.73912534143484,-14.106154569367547,-48.112043666459726
0,8,4,-70.85843159788573,-9.391951324983697,-58.940369773986184
0,8,5,-73.52038346843383,-12.292317538504697,-61.71162282183069
0,8,6,-52.12827035115322,-5.64640505824796,-47.78306342960397
0,8,7,-80.84765218117928,-9.67740250435225,-69.80602714116527
0,9,1,-61.46406014158166,-5.252064058968406,-50.93312089963906
0,9,2,-71.37883664270076,-13.70766175555673,-64.64807333811375
0,9,3,-67.71846544658612,-9.794545686995408,-59.806355238175634
0,9,4,-59.99056540408486,-10.774430507910434,-44.98306148468997
0,9,5,-59.442707846839994,-15.348781917594547,-53.28712033896622
0,9,6,-67.43968245635072,-9.547180741271411,-55.26645870932643
0,9,7,-68.73997014519836,-11.832045004147204,-58.135813880944966
0,10,1,-67.77987695665475,-7.575238814084252,-59.92350018570147
0,10,2,-68.08442101278428,-11.157574798338576,-60.21728577617578
0,10,3,-61.043339198080105,-8.501853546168118,-50.448325274133744
0,10,4,-72.85214263183445,-9.047454962031852,-63.003156008077056
0,10,5,-59.28463172551139,-8.751643922385465,-49.572786208136726
0,10,6,-68.5905226114892,-4.525233720287538,-59.99865051982582
0,10,7,-64.77264931998386,-7.154023504371446,-50.55551051825473
0,11,1,-77.25661072118606,-7.613224869271413,-63.881002672841674
0,11,2,-64.06003351794058,-7.542246526843302,-51.78859069139479
0,11,3,-79.7349754032432,-11.212871846936377,-70.19335885607092
0,11,4,-60.504101469980675,-7.208981885577689,-50.83773200440191
0,11,5,-59.5287338024219,-8.541125209636846,-48.9971339005879
0,11,6,-71.30916163932734,-14.69679607046808,-58.342938486523686
0,11,7,-65.45211789824015,-8.239056114599476,-58.01677032623966
0,12,1,-52.02674182095717,-6.735771340731035,-43.613535032126464
0,12,2,-71.40847652872404,-7.471004876317061,-61.7189662495099
0,12,3,-59.31638610793158,-9.900331562136,-49.26770040164339
0,12,4,-67.58843573235313,-16.325628087824605,-56.04589346456443
0,12,5,-60.66744683228245,-8.50345835439419,-47.91190046233795
0,12,6,-68.19645517236796,-11.618870634356677,-58.0976796972988
0,12,7,-59.754156169218376,-18.760363531529826,-47.59840317981838
0,13,1,-74.20984393117409,-9.390135098788592,-63.300920138761626
0,13,2,-76.1830304134662,-5.852924835485132,-64.42262344720373
0,13,3,-62.38225707036228,-5.963550390603245,-55.589291755748015
0,13,4,-78.1721749397504,-10.137683971712708,-69.188510234025
0,13,5,-67.71092666830239,-11.021908934777883,-57.206973750824794
0,13,6,-70.78438712293814,-10.442725960654801,-61.28724056300231
0,13,7,-74.97025092881078,-6.115102206996536,-62.8410157924537
0,14,1,-76.8508009753807,-13.938717523983879,-65.9345633146318
0,14,2,-86.36091952141177,-8.991015878489053,-75.8840997647865
0,14,3,-66.45809429719861,-12.307936965296275,-52.97698646945348
0,14,4,-63.25921677612335,-11.245046753045612,-52.99222034498831
0,14,5,-64.38463103372096,-11.6733929389101,-53.251650102501884
0,14,6,-72.01396876835751,-10.133774504210553,-62.868792287445736
0,14,7,-67.507411417928,-8.615191667276063,-56.2983585095263
0,15,1,-64.49442121029082,-11.31047077256101,-53.38550674034079
0,15,2,-56.38541855495685,-9.727604493927252,-45.92030731271998
0,15,3,-72.40175445308498,-12.730131127979353,-60.45166773425136
0,15,4,-71.57754518043447,-10.443306351314023,-60.72715696481914
0,15,5,-67.2241631711696,-15.356826446770693,-57.12575311426416
0,15,6,-66.8778839154362,-7.941570887652732,-59.54232315892999
0,15,7,-63.9057266914982,-11.021545194565261,-50.63419634484004
0,16,1,-69.17783003281676,-12.10443377403351,-60.285815664373025
0,16,2,-78.34048847846178,-5.882323442103549,-68.67544153915262
0,16,3,-71.86103596292402,-6.715227975086554,-65.6569443814537
0,16,4,-83.39825043462797,-7.5733209318517005,-72.06209227741311
0,16,5,-85.8463982810414,-8.931352571499907,-74.38921405546762
0,16,6,-71.4560678734255,-7.392230945906884,-61.612378592763605
0,16,7,-64.82261456465038,-11.57091284900866,-53.478604644453576
0,17,1,-74.64264125105996,-11.168077652632428,-66.77543001910246
0,17,2,-74.66041314229443,-10.539194846506737,-66.27784306207234
0,17,3,-78.75173692932866,-7.9698119420009235,-70.18273326683605
0,17,4,-70.32846679258375,-5.09857218348663,-61.142051380321405
0,17,5,-65.27991150548945,-15.13567233454616,-53.34614803275706
0,17,6,-63.310936143016846,-11.083489949355476,-50.01794710518663
0,17,7,-53.936004449212774,-9.6068425256869,-44.29986955470701
0,18,1,-80.07712326649093,-13.037174917747901,-69.12338008764173
0,18,2,-75.8338600865173,-10.22609318447535,-65.64370278054288
0,18,3,-58.57522800209028,-8.798579227930317,-49.944474012983804
0,18,4,-74.40771902418804,-8.482843608566425,-61.995019020700866
0,18,5,-66.76608587220139,-10.06198193155762,-61.60719414157983
0,18,6,-70.31517912806682,-12.845396716754564,-59.09335824507071
0,18,7,-68.46954715186133,-9.467268722733847,-59.87494596579817
0,19,1,-73.89609808295756,-13.649616125304622,-64.38899446656362
0,19,2,-75.29066204964846,-13.745397675459614,-67.20123039870042
0,19,3,-55.96780663680642,-13.574139468401562,-49.62687762952571
0,19,4,-81.92009063759565,-9.51407001686299,-68.59125334779348
0,19,5,-78.78741616275691,-5.591493170081424,-69.13443118967422
0,19,6,-83.32986934104922,-7.1227450530023155,-71.45329726436556
0,19,7,-79.42476630132225,-8.308444988197142,-69.02032556261209
1,0,1,-66.52734938839335,-10.260878847298294,-57.40190989865809
1,0,2,-65.19807685007919,-16.509245065615058,-55.38853616869714
1,0,3,-51.61166382052643,-6.25781794900047,-42.41015558481076
1,0,4,-81.31357520999215,-9.759615099174468,-68.94867623434679
1,0,5,-76.04018097028651,-7.385839051603986,-67.92810979947774
1,0,6,-73.84140008956905,-11.663319329783185,-68.00997946478034
1,0,7,-61.32133260667362,-7.969279790040756,-51.01629710492109
1,1,1,-68.58995031377425,-6.221877292547065,-59.26959594284525
1,1,2,-83.13901483814573,-7.793240806339613,-73.9196558063451
1,1,3,-69.24679198739555,-11.893204068005659,-58.400406138345076
1,1,4,-67.06369530543043,-9.349427276018336,-56.08168048437629
1,1,5,-76.38480923548362,-10.212377712148067,-66.71010213185902
1,1,6,-65.86166681336687,-11.407916718332178,-59.424458352004216
1,1,7,-85.78413856184598,-15.445707660562313,-76.07769379048379
1,2,1,-65.1705460268563,-9.186201511602016,-51.33940376137156
1,2,2,-65.03550235746303,-9.796874589889267,-55.15937947397721
1,2,3,-69.05451993626517,-15.74346574241429,-60.05509929204695
1,2,4,-70.77981090410519,-6.68916581856529,-60.31537306332036
1,2,5,-79.43987125482676,-13.309976499070247,-71.55616593124276
1,2,6,-65.49748446166558,-15.30976900985707,-56.11016763715294
1,2,7,-55.66958097515635,-10.283722451834793,-47.89372700266208
1,3,1,-77.13755419813444,-8.080209181276533,-61.58726931094039
1,3,2,-80.1328476673463,-9.397817615252242,-70.74639363887448
1,3,3,-71.56358329801652,-12.412157761139888,-59.33284102559055
1,3,4,-62.48731603635797,-13.779514936076076,-51.21846529547517
1,3,5,-55.01910552653321,-7.524924323966761,-46.67653652704371
1,3,6,-65.16374288000993,-7.791781246641293,-56.999299055461705
1,3,7,-72.40569336115131,-12.602709247346029,-63.170604547953495
1,4,1,-59.302440644735285,-11.3674772681214,-54.330922280760944
1,4,2,-66.68797708183759,-10.104060088128938,-54.05279689931348
1,4,3,-70.93540248166576,-10.295814874773308,-60.60790698484808
1,4,4,-55.60500995974549,-2.5106830432643488,-47.72613737586711
1,4,5,-69.55145257101837,-9.366682646987055,-61.560434482492276
1,4,6,-73.65431282425882,-10.234385999472384,-66.2156623793211
1,4,7,-69.391293072902,-11.855538475606634,-58.553434471006746
1,5,1,-70.60168100542758,-9.623024233732025,-62.94008886758022
1,5,2,-80.78926904857036,-4.848268970739327,-68.18939990214108
1,5,3,-56.089806304317015,-11.235727464895811,-45.85941755881082
1,5,4,-70.6718540265276,-12.110141618160245,-58.73189596450626
1,5,5,-83.09435132779448,-12.259518170218785,-75.25347357706838
1,5,6,-77.60576626782515,-11.442338309023341,-72.19816281571265
1,5,7,-69.20767720267146,-8.261631933063589,-61.22879980507099
1,6,1,-62.86101497347936,-10.832144401872444,-52.93459338070464
1,6,2,-71.49310944545286,-3.868832431214635,-62.465192144597935
1,6,3,-69.97203556337485,-7.455247254034829,-58.329006144749414
1,6,4,-73.19328104882028,-8.072347906224138,-63.31740644765074
1,6,5,-67.88384737525985,-9.451412789651188,-56.474859580048715
1,6,6,-59.98929702892358,-3.271343548419951,-53.445041081182175
1,6,7,-88.13054399720629,-4.95458748680811,-78.64069384521606
1,7,1,-65.03060127473807,-6.25307940322663,-52.44743070318905
1,7,2,-69.89302936676388,-11.950795402506522,-58.271863660976855
1,7,3,-75.72795700871139,-15.041684094894386,-65.32249628610813
1,7,4,-68.33778565667102,-9.811837566385847,-60.33599650384832
1,7,5,-56.046975998134684,-12.838200656950693,-47.0022543051413
1,7,6,-78.06339760250933,-12.155293264801012,-68.85131200922714
1,7,7,-65.29482500684624,-9.714075373294763,-55.31098347158917
1,8,1,-65.38454039039846,-4.560823550484672,-55.99536413306298
1,8,2,-65.04766951742414,-8.586545675457836,-55.824909140229344
1,8,3,-74.50384862117951,-9.396125063010278,-64.26666675215453
1,8,4,-71.87030642491767,-9.401550356740037,-63.06529128652502
1,8,5,-76.57891186793108,-6.990307570719224,-68.82619746118078
1,8,6,-76.54316065048124,-12.942405269468013,-66.92888447172177
1,8,7,-74.30990824606894,-9.292634231328535,-62.12391554417476
1,9,1,-70.88449634714851,-12.87315072384888,-58.010318729957135
1,9,2,-74.67369851177324,-20.817086181668135,-62.65802877315475
1,9,3,-56.16749637961958,-5.311478189744319,-49.288771280887204
1,9,4,-49.665915264484994,-5.710134542262312,-36.72845858179308
1,9,5,-73.16494464082014,-9.423139137499799,-60.755520274484475
1,9,6,-55.7809415657125,-10.269120500629043,-48.12687967213589
1,9,7,-62.783566276994364,-6.433845236823022,-54.463444946890846
1,10,1,-58.23102840199486,-7.340918076159367,-47.06942463589388
1,10,2,-61.38071156697377,-11.931908410241391,-50.703340636781235
1,10,3,-67.73144283939519,-10.100606010740517,-56.2890525711673
1,10,4,-56.36393853598219,-9.319977183009076,-46.77192130981374
1,10,5,-70.8050157442512,-7.930378522483859,-63.870948850401255
1,10,6,-68.2689382268007,-11.708597301767714,-56.8457881140552
1,10,7,-65.30846952336974,-6.690793313569889,-55.66176897703973
1,11,1,-80.18469720009216,-17.657591674555754,-71.74276830529895
1,11,2,-68.0634907055283,-12.701800591682783,-58.89334080613436
1,11,3,-73.89057452095889,-10.533471907487417,-65.83371815172227
1,11,4,-67.42803648324171,-10.618091098762731,-54.88010701713105
1,11,5,-50.60160276604458,-12.910015099437986,-41.993141972821086
1,11,6,-66.91376003482623,-9.629037252604844,-55.49695238090289
1,11,7,-74.61989304536786,-4.404563533738145,-62.63255603159092
1,12,1,-64.8730615724712,-9.843053270947916,-52.27968300758242
1,12,2,-77.08525563509374,-9.661490720379385,-68.96926506260482
1,12,3,-79.53740258260319,-8.358551797248376,-69.53816477154666
1,12,4,-80.77404889741612,-6.794964690626779,-72.41621205874065
1,12,5,-81.2304032138533,-10.200162494074812,-72.50649465432075
1,12,6,-63.40157750292609,-8.792934979081297,-53.31273513225494
1,12,7,-72.4359641268872,-11.385797685371326,-60.9111290201186
1,13,1,-61.798309073870264,-4.801496078460711,-51.84876354457867
1,13,2,-71.85132431207532,-14.798491168880762,-57.26553064389993
1,13,3,-70.79676973855634,-5.247597231842657,-63.322366656640725
1,13,4,-74.6586011244668,-9.014205404293229,-69.49022041772822
1,13,5,-78.01118355052257,-9.431539471826953,-68.02269611823304
1,13,6,-67.41533890471399,-12.242003800031418,-56.76875557509674
1,13,7,-68.27543972114121,-12.571197150578836,-58.16172163949703
1,14,1,-65.25550126244383,-9.210812575459832,-54.6722033551908
1,14,2,-69.39607637264952,-8.805273120617812,-58.886540482509254
1,14,3,-75.215699667329,-10.055917301849648,-65.78387241058971
1,14,4,-65.28904946636001,-14.956490771468228,-55.086552212535096
1,14,5,-60.87051576991425,-10.44952549393115,-49.916101663959736
1,14,6,-68.67803056026551,-9.114950977855493,-61.22725766963007
1,14,7,-69.64064987072283,-10.892579502109392,-57.89277465238774
1,15,1,-56.77714202188403,-11.30605506493514,-46.24204579365625
1,15,2,-79.67249550771999,-11.675401361219253,-67.97080656435529
1,15,3,-61.64438226628448,-7.592206683508591,-54.65917000593936
1,15,4,-62.714412320476455,-6.383437234956932,-54.598648607849
1,15,5,-78.44927585268852,-7.827280446822833,-68.39512393281048
1,15,6,-81.40705138596415,-8.268462401656073,-72.11414665872822
1,15,7,-54.949311485353824,-8.468318433069255,-44.25416553626393
1,16,1,-66.52680738790815,-7.500657387660288,-52.31054008493681
1,16,2,-71.87667340088262,-6.173944967688582,-58.69831790162827
1,16,3,-55.90233428938899,-6.653309195777817,-44.73497000348266
1,16,4,-76.61981767792093,-10.664911181128852,-64.32690000503047
1,16,5,-65.1861114684878,-13.087556601524277,-55.41960540090407
1,16,6,-72.86397875176381,-11.171172200549139,-63.58594886735525
1,16,7,-51.45247556603712,-6.815492684920809,-42.21838984028399
1,17,1,-76.16927805664326,-13.162449210348452,-67.50028423912171
1,17,2,-66.85288754159446,-13.509953601620339,-57.65214302648859
1,17,3,-60.266272252418965,-9.766856809088475,-51.767037721275685
1,17,4,-70.84986426521733,-10.84288861935642,-61.01450571184975
1,17,5,-72.42572010175537,-6.563884047921534,-62.869325086154134
1,17,6,-67.57958826544433,-8.207515709150023,-60.66019644653676
1,17,7,-58.36261754158992,-12.264709563615042,-49.6787020590388
1,18,1,-72.18770229025108,-12.666508725795605,-62.17553199623957
1,18,2,-69.20098736382565,-2.1949128806592295,-57.97714952703545
1,18,3,-65.68599499204112,-4.489904060069115,-54.04953403954087
1,18,4,-63.56669986035165,-7.194247439748926,-52.945997451005915
1,18,5,-70.71894482879182,-12.20343930409346,-59.61712499726558
1,18,6,-70.53706473018303,-9.308844064875352,-61.367459034908315
1,18,7,-64.16507140722129,-10.263429021530627,-56.37763559009612
1,19,1,-58.932212148988945,-8.887570703740714,-48.74752340690776
1,19,2,-74.00619147617178,-7.167938587862876,-65.02591105052768
1,19,3,-60.89042401180798,-8.028840831728344,-52.150227937175174
1,19,4,-81.11360276709914,-8.57578932397971,-72.41507582593674
1,19,5,-56.74000014997046,-10.762128873830951,-50.2299073650609
1,19,6,-65.18551016646093,-10.009795993422506,-52.935061743043775
1,19,7,-58.6458233061561,-8.889154965826304,-49.622919546223166
2,0,1,-56.11780713414227,-11.28622110129953,-47.70286064008358
2,0,2,-73.54696675261071,-16.08479047312368,-60.526601810475064
2,0,3,-74.87577326038776,-12.557716303925,-64.4788831152145
2,0,4,-63.20412474923669,-8.615451334728416,-49.81488347402234
2,0,5,-73.61168410614715,-7.878169210629842,-60.736935631064306
2,0,6,-73.31781903954491,-9.877858171239424,-61.57414162697005
2,0,7,-72.65211873149177,-4.755138198727016,-62.45508948847017
2,1,1,-61.6197251354472,-8.118154456507723,-50.47093435047328
2,1,2,-67.17876300729972,-9.07957265580547,-59.626836824188366
2,1,3,-72.40619526087904,-9.78800095065631,-61.24965268445524
2,1,4,-98.01600826506831,-13.248864279627215,-85.97807294129647
2,1,5,-57.91898401705862,-10.41961123493499,-44.58541324167443
2,1,6,-66.00217403399691,-14.483754666372368,-54.39765817596662
2,1,7,-75.42862267206246,-7.304476089605493,-61.110072373992296
2,2,1,-73.80886735137832,-5.45298384179168,-65.66356883186123
2,2,2,-79.76401706562227,-12.647316357604941,-69.79822951948417
2,2,3,-74.79479123880456,-11.814764858990944,-65.00129628199967
2,2,4,-81.78947601959104,-9.350743376037125,-73.74216761994792
2,2,5,-77.55113525714171,-12.822277729139445,-66.42385699419309
2,2,6,-52.36698890366172,-12.978331443052413,-44.477864474692325
2,2,7,-73.4701402909174,-8.131681587659848,-62.67121213089031
2,3,1,-62.611421711847015,-12.330521377429697,-53.30947681553637
2,3,2,-61.20658417721422,-10.606681480160281,-49.50175847709528
2,3,3,-66.35524951579565,-5.1285035465304,-54.07177426986416
2,3,4,-55.1166767407806,-11.355393657497277,-45.027923533817265
2,3,5,-65.13998044362455,-8.71863022901598,-52.849980428832225
2,3,6,-74.3088500423855,-15.173947932331012,-67.34090181757016
2,3,7,-75.44492777596233,-7.4751401416159595,-68.30944099409378
2,4,1,-75.729276146187,-14.190481132000102,-66.59105741756443
